ID,Pregunta,Categoría
1,¿Cuál es la calificación promedio de Calico?,Estadística
2,What's the average user rating for Calico?,Estadística
3,¿Qué puntuación media han dado los jugadores a Calico?,Estadística
4,How highly is Calico rated on average?,Estadística
5,¿Cuántas valoraciones tiene Calico en total?,Estadística
6,Total number of ratings submitted for Calico?,Estadística
7,¿Cuántas personas han calificado este juego?,Estadística
8,How many users have rated Calico?,Estadística
9,¿Qué tan dispersas están las calificaciones de Calico?,Estadística
10,What's the standard deviation of Calico's ratings?,Estadística
11,¿La opinión sobre Calico es muy variada? (Desviación),Estadística
12,Are ratings for Calico consistent or varied?,Estadística
13,¿Cuál es el nivel de complejidad indicado para Calico?,Estadística
14,What complexity weight does Calico have?,Estadística
15,¿Es Calico un juego fácil o complejo según su métrica?,Estadística
16,How is Calico's complexity weighted on the scale?,Estadística
17,¿En qué posición está Calico en el ranking general?,Estadística
18,What's Calico's overall board game rank?,Estadística
19,¿Cómo se posiciona en la categoría Abstract?,Estadística
20,How does Calico rank in family games?,Estadística
21,¿Cuántas partidas registradas hay en total?,Estadística
22,Total number of recorded plays for Calico?,Estadística
23,¿Cuántas partidas se jugaron este mes?,Estadística
24,How many plays occurred in the current month?,Estadística
25,¿Cuántos dueños actuales tiene Calico?,Estadística
26,How many users currently own Calico?,Estadística
27,¿Cuántas copias estuvieron previamente en propiedad?,Estadística
28,Number of previously owned copies?,Estadística
29,¿Cuántos usuarios ofrecen Calico en intercambio?,Estadística
30,How many copies are listed for trade?,Estadística
31,¿Cuántos buscan obtener Calico por intercambio?,Estadística
32,Users wanting to trade for Calico?,Estadística
33,¿Cuántos lo tienen en lista de deseos?,Estadística
34,How many wishlist entries does Calico have?,Estadística
35,¿Es un juego frecuentemente deseado?,Estadística
36,Is Calico commonly wishlisted?,Estadística
37,¿Cuántos tienen componentes adicionales?,Estadística
38,How many users report having extra parts?,Estadística
39,¿Cuántos necesitan piezas de repuesto?,Estadística
40,Users needing replacement parts?,Estadística
41,Número total de comentarios en la plataforma,Estadística
42,Total written comments about Calico?,Estadística
43,¿Es un juego que genera mucho debate?,Estadística
44,Does Calico inspire many user comments?,Estadística
45,¿Cuántos fans oficiales registrados tiene?,Estadística
46,Number of registered fans for Calico?,Estadística
47,¿Tiene Calico una base de fans sólida?,Estadística
48,How strong is Calico's fan following?,Estadística
49,¿Cuántas visitas ha tenido su página?,Estadística
50,Total page views for Calico's profile?,Estadística
51,¿Es una página frecuentemente visitada?,Estadística
52,How popular is Calico's page in views?,Estadística
53,¿Cómo ha cambiado el número de dueños este año?,Estadística
54,Ownership growth trends this year?,Estadística
55,¿Aumentan los intercambios recientemente?,Estadística
56,Recent changes in trade activity?,Estadística
57,¿Qué % de dueños juegan activamente? (Own vs Plays),Estadística
58,What percentage of owners actively play?,Estadística
59,Ratio de deseos vs. propiedad,Estadística
60,Wishlist-to-ownership ratio?,Estadística
61,¿En qué países es más popular? (según visitas),Estadística
62,Which regions have most Calico players?,Estadística
63,¿Tiene más fans hombres o mujeres? (si el dato existe),Estadística
64,Gender distribution among fans?,Estadística
65,¿Cuántos años lleva en rankings?,Estadística
66,How long has Calico maintained its rank?,Estadística
67,¿Aumenta o disminuye su popularidad histórica?,Estadística
68,Historical popularity trend: rising or falling?,Estadística
69,¿Qué % de copias están en mercado secundario?,Estadística
